RUC|NOMBRE_DE_ENTIDAD|DEPARTAMENTO|PROVINCIA|DISTRITO|CODIGO_SIAF|CODCONSUCODE|ESTADO|ULTIMAACTUALIZACION
20480501668|INSTITUTO VIAL PROVINCIAL DE SAN IGNACIO IVP-SI|CAJAMARCA|SAN IGNACIO|SAN IGNACIO|930043|200291|Activo|27/04/16
20496193912|INSTITUTO VIAL PROVINCIAL DE SAN PABLO|CAJAMARCA|SAN PABLO|SAN PABLO|930057|200341|Activo|27/09/19
20486588064|INSTITUTO VIAL PROVINCIAL DE SATIPO - IVP SATIPO|JUNIN|SATIPO|SATIPO||200217|Activo|17/07/13
20532715700|INSTITUTO VIAL PROVINCIAL DE TACNA|TACNA|TACNA|TACNA||204488|Activo|25/03/22
20450163407|INSTITUTO VIAL PROVINCIAL DE TOCACHE - IVP TOCACHE|SAN MARTIN|TOCACHE|TOCACHE||200187|Activo|17/07/13
20452806755|INSTITUTO VIAL PROVINCIAL DE VILCAS HUAMAN|AYACUCHO|VILCAS HUAMAN|VILCAS HUAMAN|930120|200579|Activo|11/04/18
20541342312|INSTITUTO VIAL PROVINCIAL DE YAULI LA OROYA|JUNIN|YAULI|LA OROYA||201505|Activo|25/04/22
20491348357|INSTITUTO VIAL PROVINCIAL DE YAUYOS|LIMA|YAUYOS|YAUYOS||200359|Activo|17/07/13
20528971815|INSTITUTO VIAL PROVINCIAL DOS DE MAYO|HUANUCO|DOS DE MAYO|LA UNION|930104|200582|Activo|22/09/20
20407951973|INSTITUTO VIAL PROVINCIAL MUNICIPAL ANTONIO RAYMONDI|ANCASH|ANTONIO RAYMONDI|LLAMELLIN||200285|Activo|17/07/13
20490350986|INSTITUTO VIAL PROVINCIAL MUNICIPAL AYMARAES|APURIMAC|AYMARAES|CHALHUANCA||200443|Activo|18/09/15
20489295831|INSTITUTO VIAL PROVINCIAL MUNICIPAL DANIEL CARRION|PASCO|DANIEL ALCIDES CARRION|YANAHUANCA|930090|200383|Activo|26/10/20
20487182487|INSTITUTO VIAL PROVINCIAL MUNICIPAL DE ACOBAMBA|HUANCAVELICA|ACOBAMBA|ACOBAMBA||200336|Activo|17/07/13
20542003317|INSTITUTO VIAL PROVINCIAL MUNICIPAL DE AIJA|ANCASH|AIJA|AIJA||201085|Activo|13/04/22
20487345882|INSTITUTO VIAL PROVINCIAL MUNICIPAL DE ANGARAES|HUANCAVELICA|ANGARAES|LIRCAY||200379|Activo|17/07/13
20393573130|INSTITUTO VIAL PROVINCIAL MUNICIPAL DE ATALAYA|UCAYALI|ATALAYA|RAYMONDI||200376|Activo|17/07/13
20525933441|INSTITUTO VIAL PROVINCIAL MUNICIPAL DE AYABACA|PIURA|AYABACA|AYABACA||200360|Activo|17/07/13
20447954266|INSTITUTO VIAL PROVINCIAL MUNICIPAL DE AZANGARO|PUNO|AZANGARO|AZANGARO||200549|Activo|24/09/13
20542176688|INSTITUTO VIAL PROVINCIAL MUNICIPAL DE BARRANCA |LIMA|BARRANCA|BARRANCA||200401|Activo|17/07/13
20450487211|INSTITUTO VIAL PROVINCIAL MUNICIPAL DE BELLAVISTA|SAN MARTIN|BELLAVISTA|BELLAVISTA||200347|Activo|17/07/13
20480540302|INSTITUTO VIAL PROVINCIAL MUNICIPAL DE BONGARA|AMAZONAS|BONGARA|JUMBILLA||200274|Activo|23/06/14
20408080607|INSTITUTO VIAL PROVINCIAL MUNICIPAL DE CARHUAZ|ANCASH|CARHUAZ|CARHUAZ|930083|200375|Activo|02/05/19
20408060754|INSTITUTO VIAL PROVINCIAL MUNICIPAL DE CARLOS FERMIN FITZCARRALD|ANCASH|CARLOS FERMIN FITZCARRALD|SAN LUIS||200330|Activo|17/07/13
